"","Names","scores"
"1","c__Deinococci",-2.10022658355629
"2","p__Deinococcota",-2.07926661002006
"3","f__Thermaceae",-2.0672915655509
"4","o__Thermales",-2.03814249951547
"5","g__Thermus",-2.0355391957824
"6","o__Pseudomonadales",-1.91486541277643
"7","f__Moraxellaceae",-1.61293400184401
"8","g__Acinetobacter",-1.46840132077243
"9","p__Actinobacteriota",-1.36531818629819
"10","c__Actinobacteria",-1.35412013968528
"11","o__Sphingobacteriales",-1.22357350479257
"12","o__Flavobacteriales",-1.11865456023525
"13","f__Weeksellaceae",-0.860197647528171
"14","f__Lactobacillaceae",-0.817047694784125
"15","f__Flavobacteriaceae",-0.802541603242039
"16","g__Lactobacillus",-0.795237684892664
"17","g__Flavobacterium",-0.740581946807917
"18","p__Bdellovibrionota",-0.693243769812488
"19","p__Patescibacteria",-0.598070540590241
"20","c__Bdellovibrionia",-0.583536803094965
"21","g__Bacillus",-0.522827474585684
"22","c__Gracilibacteria",-0.459994800422301
"23","o__Candidatus_Kaiserbacteria",-0.459487013789731
"24","f__Candidatus_Kaiserbacteria",-0.454675633974588
"25","g__Bdellovibrio",-0.432944978725304
"26","f__Bdellovibrionaceae",-0.410622061569333
"27","g__Candidatus_Kaiserbacteria",-0.367485750393372
"28","o__Bdellovibrionales",-0.365321700660478
"29","f__Erysipelotrichaceae",-0.351514695672135
"30","c__Oligoflexia",-0.274821216957387
"31","g__Saccharimonadales",-0.259046802121157
"32","f__Saccharimonadales",-0.192542828903112
"33","f__0319.6G20",-0.142721344860605
"34","f__Oligoflexales",-0.0863843335356865
"35","g__Limnohabitans",-0.0316814226342339
"36","g__Oligoflexus",-0.0275915792800704
"37","o__0319.6G20",-0.0238072565514503
"38","o__Oligoflexales",0.0400086316411255
"39","g__0319.6G20",0.0420906084870314
"40","g__uncultured",0.0540993633012362
"41","c__Saccharimonadia",0.248691916200869
"42","o__Saccharimonadales",0.337793503290899
"43","o__Bacillales",1.12132734173204
