"","Names","scores"
"1","Lactobacillales",-2.28218150226902
"2","Bacilli",-2.2790616290597
"3","Enterococcaceae",-2.1857911408478
"4","Enterococcus",-2.1857283856522
"5","Firmicutes",-2.11346917713768
"6","Proteobacteria",-2.054513135457
"7","Gammaproteobacteria",-2.02356133911471
"8","Enterobacterales",-1.9913413772465
"9","Enterobacteriacea",-1.9805899779232
"10","Cronobacte",-1.7404650270578
"11","Enterobacteriaceae_unclassifie",-1.7303611551134
"12","Streptococcus",-1.63348486418649
"13","Streptococcaceae",-1.6321433668533
"14","Lactobacillaceae",-1.47456256740042
"15","Clostridium_sensu_stricto",-1.34149220167604
"16","Lacticaseibacillu",-1.30091562480792
"17","Clostridiaceae_1",-1.29939207729441
"18","Veillonella",-1.17189666808408
"19","Limosilactobacillu",-1.10841967655811
"20","Erysipelatoclostridiu",-1.08121798729245
"21","Erysipelatoclostridiacea",-1.03889690005352
"22","Actinobacteria",-1.03799003406093
"23","Ruminococcaceae_unclassified",-1.03621509228382
"24","Actinobacteria.1",-0.993352610120702
"25","Erysipelotrichaceae_unclassified",-0.974577601171165
"26","Fusobacteriia",-0.879931214019587
"27","Lactobacillu",-0.872624496515603
"28","Fusobacterium",-0.853534962856348
"29","Fusobacteriales",-0.843647292218723
"30","Fusobacteria",-0.835418620419854
"31","Fusobacteriaceae",-0.829163693943228
"32","Enterocloste",-0.827026747315557
"33","Ligilactobacillus",-0.808549173093572
"34","Pseudomona",-0.787689564540024
"35","Blauti",-0.781473907152072
"36","Peptostreptococcaceae",-0.762871874014589
"37","Coriobacteriia",-0.695147903361225
"38","Micrococcales",-0.684326522087864
"39","Romboutsi",-0.634141110052221
"40","Coprobacter",-0.609957835580082
"41","Lachnospiraceae_unclassified",-0.594846012415187
"42","Eubacteriaceae",-0.582265086610054
"43","Eubacteriaceae_unclassified",-0.57748418437621
"44","Erysipelotrichaceae",-0.571894483904524
"45","Collinsella",-0.562504262102053
"46","Coriobacteriales",-0.553625836833464
"47","Coriobacteriaceae",-0.540346122450911
"48","Enterobacteriaceae",-0.527672441514836
"49","Limosilactobacillus",-0.47726915015325
"50","Lactiplantibacillu",-0.474063285158603
"51","Enterocloster",-0.428405985740192
"52","Eggerthellales",-0.416000124518277
"53","Eggerthellaceae",-0.400443665338126
"54","Negativicutes",-0.39582456921054
"55","Clostridiales_Incertae_Sedis_XII",-0.366078112759832
"56","Eggerthella",-0.363728345226333
"57","Sellimona",-0.307054947641123
"58","Lactococcus",-0.294784114577596
"59","Negativibacillu",-0.258357834286362
"60","Anaerobutyricum",-0.222960598537496
"61","Actinomycetaceae",-0.221957783065036
"62","Duncaniella",-0.217999399154628
"63","Aminipil",-0.215734517700382
"64","Anaerotignum",-0.20642807493218
"65","Muribaculaceae_unclassified",-0.206157217166329
"66","Actinomycetales",-0.203766775878788
"67","Dysosmobacte",-0.185277964609332
"68","Eisenbergiella",-0.174030007816282
"69","Parasutterella",-0.173491429655377
"70","Neisseriales",-0.164124696780894
"71","Schaalia",-0.156087189828563
"72","Kingell",-0.15270106032247
"73","Actinomyces",-0.143105251374001
"74","Bacillale",-0.142842453780258
"75","Abiotrophi",-0.14122655169725
"76","Ligilactobacillu",-0.138472740939778
"77","Duncaniell",-0.138277645994097
"78","Murimona",-0.138152089565147
"79","Neisseriaceae",-0.135709350326505
"80","Aerococcaceae",-0.129340958700208
"81","Lactobacillales_unclassifie.1",-0.123723366975599
"82","Lactobacillales_unclassifie",-0.118504676846261
"83","Staphylococcacea",-0.112011997525304
"84","Terrisporobacter",-0.0997762064430453
"85","Staphylococcu",-0.0949085556266867
"86","Clostridium_XVIII",-0.0560702170318104
"87","Micrococcaceae",-0.0537429940370348
"88","Rothi",-0.0512929353860038
"89","Gemella",-0.0344553822409279
"90","Bacillales_Incertae_Sedis_XI",-0.0267479577149104
"91","Subdoligranulum",-0.00769565537905547
"92","Enterobacterales_unclassifie",0.000511847798673876
"93","Escherichia.Shigell",0.00539341731868785
"94","Enterobacterales_unclassified.1",0.0171614626021822
"95","Flintibacte",0.0188335912707311
"96","Enterobacterales_unclassifie.1",0.0223034093536094
"97","Enterobacterales_unclassified",0.0276712632114879
"98","Lactobacillales_unclassified.1",0.0435994734910363
"99","Clostridiale",0.0456210082082978
"100","Atopobiaceae",0.0473908330857231
"101","Lactobacillales_unclassified",0.0519695597055138
"102","Pelomona",0.0561186551351228
"103","Enterococcaceae_unclassified",0.0568485004702038
"104","Anaerofustis",0.0625190926082342
