"","Names","scores"
"1","f__Thermaceae",-2.17509187288456
"2","o__Enterobacterales",-2.17431966995538
"3","p__Deinococcota",-2.16144445475609
"4","c__Deinococci",-2.15240361910228
"5","o__Thermales",-2.12900075908931
"6","g__Thermus",-2.09327900468766
"7","p__Actinobacteriota",-1.63132826991064
"8","c__Actinobacteria",-1.60837453291787
"9","p__Bacteroidota",-1.42334932068663
"10","c__Bacteroidia",-1.42334932068663
"11","o__Flavobacteriales",-1.26313222864829
"12","o__Sphingobacteriales",-1.2095055491599
"13","f__Sphingobacteriaceae",-1.20364383208536
"14","p__Verrucomicrobiota",-1.15826398633617
"15","f__Flavobacteriaceae",-1.01839542522539
"16","f__Weeksellaceae",-0.950697945172516
"17","p__Patescibacteria",-0.919073435363693
"18","g__Flavobacterium",-0.916933755130031
"19","g__Lactobacillus",-0.806799313328988
"20","f__Lactobacillaceae",-0.797518035048783
"21","p__Bdellovibrionota",-0.743660898867171
"22","g__Bacillus",-0.605334217146045
"23","c__Parcubacteria",-0.601492929355929
"24","c__Bdellovibrionia",-0.545761366110757
"25","f__Candidatus_Kaiserbacteria",-0.535041989345097
"26","g__Candidatus_Kaiserbacteria",-0.532456152877112
"27","o__Candidatus_Kaiserbacteria",-0.532063474869771
"28","f__Alcaligenaceae",-0.484934728770413
"29","g__Bdellovibrio",-0.462800012366619
"30","f__Bdellovibrionaceae",-0.452117130739816
"31","c__Gracilibacteria",-0.447896833281696
"32","c__ABY1",-0.425861426837961
"33","o__Bdellovibrionales",-0.417531070795794
"34","g__Saccharimonadales",-0.289028928583309
"35","f__Erysipelotrichaceae",-0.244423636555898
"36","c__Oligoflexia",-0.152348042640094
"37","f__Saccharimonadales",-0.105806086670591
"38","g__0319.6G20",-0.0727822704555117
"39","f__0319.6G20",-0.0677692773841306
"40","o__0319.6G20",-0.03785726488743
"41","g__uncultured",-0.0271882323068611
"42","g__Oligoflexus",-0.0254580263060658
"43","f__Oligoflexales",-0.00811329110662321
"44","o__Oligoflexales",-0.00798264302081709
"45","g__Limnohabitans",0.219547685811157
"46","o__Saccharimonadales",0.33902470472193
"47","c__Saccharimonadia",0.34038812207386
"48","p__Firmicutes",1.19085243105873
"49","f__Moraxellaceae",1.33778820119491
"50","g__Acinetobacter",1.67244524055842
"51","o__Pseudomonadales",2.17902060346256
